alias,syllable,onset,vowel,variant,file,duration_s,peak,rms,crest_db,zero_crossing_rate,spectral_centroid_hz,energy_ratio_above_4khz
ㄱㅏ,가,ㄱ,ㅏ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\가.wav,0.41798186,0.85995483,0.30865536,8.90003638,0.12575955,2679.94901846,0.16120808
ㄱㅏ,가,ㄱ,ㅏ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\가.wav,0.41798186,0.86605706,0.35139511,7.83501595,0.13221571,2682.45431893,0.15950199
ㄱㅐ,개,ㄱ,ㅐ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\개.wav,0.41798186,0.85995483,0.28775487,9.50905918,0.12554253,3110.80165271,0.23593704
ㄱㅐ,개,ㄱ,ㅐ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\개.wav,0.41798186,0.85965323,0.32790572,8.37148631,0.13275825,3092.97109473,0.2227008
ㄱㅑ,갸,ㄱ,ㅑ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\갸.wav,0.41798186,0.85995483,0.29740044,9.22268065,0.12901476,3023.12971571,0.26456974
ㄱㅑ,갸,ㄱ,ㅑ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\갸.wav,0.41798186,0.86366668,0.33879435,8.12819997,0.13574219,3089.65662773,0.26926926
ㄱㅒ,걔,ㄱ,ㅒ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\걔.wav,0.41798186,0.85995483,0.26609934,10.18863675,0.11935764,3003.06035055,0.26391507
ㄱㅒ,걔,ㄱ,ㅒ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\걔.wav,0.41798186,0.85995575,0.31154723,8.81904413,0.12586806,3047.82410693,0.26295152
ㄱㅓ,거,ㄱ,ㅓ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\거.wav,0.41798186,0.85995483,0.25540025,10.54508665,0.10828993,2661.47675952,0.15046281
ㄱㅓ,거,ㄱ,ㅓ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\거.wav,0.41798186,0.86265422,0.30240806,9.10486784,0.1155599,2598.37869331,0.14387525
ㄱㅔ,게,ㄱ,ㅔ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\게.wav,0.41798186,0.85995483,0.25959849,10.40346973,0.10742188,3277.10930955,0.30641801
ㄱㅔ,게,ㄱ,ㅔ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\게.wav,0.41798186,0.86400924,0.30635689,9.00581462,0.11035156,3291.50048189,0.30281877
ㄱㅕ,겨,ㄱ,ㅕ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\겨.wav,0.41798186,0.85995483,0.28241257,9.67183224,0.10503472,2886.49020823,0.23926139
ㄱㅕ,겨,ㄱ,ㅕ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\겨.wav,0.41798186,0.85937739,0.32865788,8.34879755,0.10921224,2909.86207499,0.23854263
ㄱㅖ,계,ㄱ,ㅖ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\계.wav,0.41798186,0.85995483,0.26791119,10.12969562,0.1359592,3267.47174699,0.3036992
ㄱㅖ,계,ㄱ,ㅖ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\계.wav,0.41798186,0.85811659,0.31437274,8.72202827,0.14095052,3295.47185094,0.3009401
ㄱㅗ,고,ㄱ,ㅗ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\고.wav,0.41798186,0.85995483,0.30390884,9.03464622,0.08322483,2288.79696369,0.13661085
ㄱㅗ,고,ㄱ,ㅗ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\고.wav,0.41798186,0.86331032,0.35088097,7.82014234,0.0882704,2286.03245776,0.1407035
ㄱㅘ,과,ㄱ,ㅘ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\과.wav,0.41798186,0.85995483,0.2157326,12.01119736,0.08582899,2328.18397358,0.13582907
ㄱㅘ,과,ㄱ,ㅘ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\과.wav,0.41798186,0.86305523,0.25773947,10.49715323,0.0922309,2291.58502178,0.13301436
ㄱㅙ,괘,ㄱ,ㅙ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\괘.wav,0.41798186,0.85995483,0.25323829,10.61892532,0.09646267,2452.75365936,0.15665875
ㄱㅙ,괘,ㄱ,ㅙ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\괘.wav,0.41798186,0.86357216,0.29934075,9.20265578,0.10199653,2450.12890856,0.15567305
ㄱㅚ,괴,ㄱ,ㅚ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\괴.wav,0.41798186,0.85995483,0.24180142,11.02033587,0.11024306,2465.99570547,0.17136071
ㄱㅚ,괴,ㄱ,ㅚ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\괴.wav,0.41798186,0.86337465,0.28682088,9.57177066,0.11653646,2438.89591162,0.16687246
ㄱㅛ,교,ㄱ,ㅛ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\교.wav,0.41798186,0.85995483,0.29056835,9.42454676,0.11914062,2884.41099946,0.24908973
ㄱㅛ,교,ㄱ,ㅛ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\교.wav,0.41798186,0.86163451,0.3341856,8.22670704,0.125,2925.46030884,0.25613251
ㄱㅜ,구,ㄱ,ㅜ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\구.wav,0.41798186,0.85995483,0.30119022,9.11269548,0.06456163,2339.7523455,0.12428758
ㄱㅜ,구,ㄱ,ㅜ,soft,detailed_voicebank\04_all_399_soft_female\ㄱ\구.wav,0.41798186,0.86389195,0.35130556,7.81548813,0.07161458,2265.32130471,0.11738802
ㄱㅝ,궈,ㄱ,ㅝ,clean,detailed_voicebank\03_all_399_clean_female\ㄱ\궈.wav,0.41798186,0.85995483,0.28907478,9.46930872,0.0890842,2286.24431623,0.10955951
