vowel,harmonic,frequency_hz,base_ratio_h1_1,band_multiplier,final_normalized_amplitude,role
ㅏ,1,440.0,1.0,0.88,0.11311695,body
ㅏ,2,880.0,0.76,0.88,0.73403852,body
ㅏ,3,1320.0,0.64,1.22,0.22493819,forward_presence
ㅏ,4,1760.0,0.56,1.22,0.90560309,forward_presence
ㅏ,5,2200.0,0.5,1.22,0.50083775,forward_presence
ㅏ,6,2640.0,0.45,1.22,0.08992456,forward_presence
ㅏ,7,3080.0,0.41,1.26,0.08015532,consonant_and_vowel_clarity
ㅏ,8,3520.0,0.37,1.26,0.19027522,consonant_and_vowel_clarity
ㅏ,9,3960.0,0.34,1.26,0.45522119,consonant_and_vowel_clarity
ㅏ,10,4400.0,0.31,1.26,0.26664497,consonant_and_vowel_clarity
ㅏ,11,4840.0,0.285,1.14,0.06535998,bright_gloss
ㅏ,12,5280.0,0.26,1.14,0.04284726,bright_gloss
ㅏ,13,5720.0,0.235,1.14,0.03533425,bright_gloss
ㅏ,14,6160.0,0.215,1.14,0.03261589,bright_gloss
ㅏ,15,6600.0,0.198,1.14,0.02862674,bright_gloss
ㅏ,16,7040.0,0.182,1.14,0.02773749,bright_gloss
ㅏ,17,7480.0,0.166,0.92,0.0204566,controlled_air
ㅏ,18,7920.0,0.152,0.92,0.01878314,controlled_air
ㅏ,19,8360.0,0.139,0.92,0.01708824,controlled_air
ㅏ,20,8800.0,0.127,0.92,0.01611374,controlled_air
ㅏ,21,9240.0,0.116,0.92,0.01331155,controlled_air
ㅏ,22,9680.0,0.106,0.92,0.01203277,controlled_air
ㅏ,23,10120.0,0.097,0.92,0.01018952,controlled_air
ㅏ,24,10560.0,0.089,0.92,0.00969383,controlled_air
ㅏ,25,11000.0,0.081,0.68,0.00599795,anti_metallic_tail
ㅏ,26,11440.0,0.074,0.68,0.00543461,anti_metallic_tail
ㅏ,27,11880.0,0.068,0.68,0.00450112,anti_metallic_tail
ㅏ,28,12320.0,0.062,0.68,0.0040143,anti_metallic_tail
ㅏ,29,12760.0,0.057,0.68,0.00336357,anti_metallic_tail
ㅏ,30,13200.0,0.052,0.68,0.00310045,anti_metallic_tail
ㅏ,31,13640.0,0.048,0.68,0.00277934,anti_metallic_tail
ㅏ,32,14080.0,0.044,0.68,0.00254958,anti_metallic_tail
ㅏ,33,14520.0,0.04,0.68,0.0021715,anti_metallic_tail
ㅏ,34,14960.0,0.037,0.68,0.00187359,anti_metallic_tail
ㅏ,35,15400.0,0.034,0.68,0.00169645,anti_metallic_tail
ㅏ,36,15840.0,0.031,0.68,0.00157078,anti_metallic_tail
ㅐ,1,440.0,1.0,0.88,0.14073458,body
ㅐ,2,880.0,0.76,0.88,0.91745797,body
ㅐ,3,1320.0,0.64,1.22,0.11351107,forward_presence
ㅐ,4,1760.0,0.56,1.22,0.10355751,forward_presence
ㅐ,5,2200.0,0.5,1.22,0.12160959,forward_presence
ㅐ,6,2640.0,0.45,1.22,0.6548561,forward_presence
ㅐ,7,3080.0,0.41,1.26,0.5511288,consonant_and_vowel_clarity
ㅐ,8,3520.0,0.37,1.26,0.1283782,consonant_and_vowel_clarity
ㅐ,9,3960.0,0.34,1.26,0.35894839,consonant_and_vowel_clarity
ㅐ,10,4400.0,0.31,1.26,0.40279804,consonant_and_vowel_clarity
ㅐ,11,4840.0,0.285,1.14,0.11556959,bright_gloss
ㅐ,12,5280.0,0.26,1.14,0.0470697,bright_gloss
ㅐ,13,5720.0,0.235,1.14,0.03702473,bright_gloss
ㅐ,14,6160.0,0.215,1.14,0.03416279,bright_gloss
ㅐ,15,6600.0,0.198,1.14,0.02998442,bright_gloss
ㅐ,16,7040.0,0.182,1.14,0.029053,bright_gloss
ㅐ,17,7480.0,0.166,0.92,0.0214268,controlled_air
ㅐ,18,7920.0,0.152,0.92,0.01967397,controlled_air
ㅐ,19,8360.0,0.139,0.92,0.01789868,controlled_air
ㅐ,20,8800.0,0.127,0.92,0.01687797,controlled_air
ㅐ,21,9240.0,0.116,0.92,0.01394288,controlled_air
ㅐ,22,9680.0,0.106,0.92,0.01260345,controlled_air
ㅐ,23,10120.0,0.097,0.92,0.01067278,controlled_air
ㅐ,24,10560.0,0.089,0.92,0.01015358,controlled_air
ㅐ,25,11000.0,0.081,0.68,0.00628242,anti_metallic_tail
ㅐ,26,11440.0,0.074,0.68,0.00569236,anti_metallic_tail
ㅐ,27,11880.0,0.068,0.68,0.0047146,anti_metallic_tail
ㅐ,28,12320.0,0.062,0.68,0.00420468,anti_metallic_tail
ㅐ,29,12760.0,0.057,0.68,0.00352309,anti_metallic_tail
ㅐ,30,13200.0,0.052,0.68,0.00324749,anti_metallic_tail
ㅐ,31,13640.0,0.048,0.68,0.00291116,anti_metallic_tail
ㅐ,32,14080.0,0.044,0.68,0.0026705,anti_metallic_tail
ㅐ,33,14520.0,0.04,0.68,0.00227448,anti_metallic_tail
ㅐ,34,14960.0,0.037,0.68,0.00196245,anti_metallic_tail
ㅐ,35,15400.0,0.034,0.68,0.00177691,anti_metallic_tail
ㅐ,36,15840.0,0.031,0.68,0.00164528,anti_metallic_tail
ㅓ,1,440.0,1.0,0.88,0.19749213,body
ㅓ,2,880.0,0.76,0.88,0.66935191,body
ㅓ,3,1320.0,0.64,1.22,0.50517376,forward_presence
ㅓ,4,1760.0,0.56,1.22,0.94767008,forward_presence
ㅓ,5,2200.0,0.5,1.22,0.15862037,forward_presence
ㅓ,6,2640.0,0.45,1.22,0.08146305,forward_presence
ㅓ,7,3080.0,0.41,1.26,0.09548051,consonant_and_vowel_clarity
ㅓ,8,3520.0,0.37,1.26,0.29028139,consonant_and_vowel_clarity
ㅓ,9,3960.0,0.34,1.26,0.45834715,consonant_and_vowel_clarity
ㅓ,10,4400.0,0.31,1.26,0.17378481,consonant_and_vowel_clarity
ㅓ,11,4840.0,0.285,1.14,0.05207744,bright_gloss
ㅓ,12,5280.0,0.26,1.14,0.0421393,bright_gloss
ㅓ,13,5720.0,0.235,1.14,0.03496655,bright_gloss
ㅓ,14,6160.0,0.215,1.14,0.03227723,bright_gloss
ㅓ,15,6600.0,0.198,1.14,0.0283295,bright_gloss
ㅓ,16,7040.0,0.182,1.14,0.02744949,bright_gloss
ㅓ,17,7480.0,0.166,0.92,0.02024419,controlled_air
ㅓ,18,7920.0,0.152,0.92,0.01858811,controlled_air
ㅓ,19,8360.0,0.139,0.92,0.01691081,controlled_air
ㅓ,20,8800.0,0.127,0.92,0.01594642,controlled_air
ㅓ,21,9240.0,0.116,0.92,0.01317333,controlled_air
ㅓ,22,9680.0,0.106,0.92,0.01190783,controlled_air
ㅓ,23,10120.0,0.097,0.92,0.01008372,controlled_air
ㅓ,24,10560.0,0.089,0.92,0.00959318,controlled_air
ㅓ,25,11000.0,0.081,0.68,0.00593568,anti_metallic_tail
ㅓ,26,11440.0,0.074,0.68,0.00537818,anti_metallic_tail
ㅓ,27,11880.0,0.068,0.68,0.00445439,anti_metallic_tail
ㅓ,28,12320.0,0.062,0.68,0.00397262,anti_metallic_tail
ㅓ,29,12760.0,0.057,0.68,0.00332864,anti_metallic_tail
ㅓ,30,13200.0,0.052,0.68,0.00306825,anti_metallic_tail
ㅓ,31,13640.0,0.048,0.68,0.00275049,anti_metallic_tail
ㅓ,32,14080.0,0.044,0.68,0.00252311,anti_metallic_tail
ㅓ,33,14520.0,0.04,0.68,0.00214895,anti_metallic_tail
ㅓ,34,14960.0,0.037,0.68,0.00185413,anti_metallic_tail
ㅓ,35,15400.0,0.034,0.68,0.00167884,anti_metallic_tail
ㅓ,36,15840.0,0.031,0.68,0.00155447,anti_metallic_tail
ㅔ,1,440.0,1.0,0.88,0.69537419,body
ㅔ,2,880.0,0.76,0.88,0.26662273,body
ㅔ,3,1320.0,0.64,1.22,0.11832067,forward_presence
ㅔ,4,1760.0,0.56,1.22,0.11189383,forward_presence
ㅔ,5,2200.0,0.5,1.22,0.10256749,forward_presence
ㅔ,6,2640.0,0.45,1.22,0.1576533,forward_presence
ㅔ,7,3080.0,0.41,1.26,0.78824348,consonant_and_vowel_clarity
ㅔ,8,3520.0,0.37,1.26,0.39786513,consonant_and_vowel_clarity
ㅔ,9,3960.0,0.34,1.26,0.2352099,consonant_and_vowel_clarity
ㅔ,10,4400.0,0.31,1.26,0.4700479,consonant_and_vowel_clarity
ㅔ,11,4840.0,0.285,1.14,0.22530746,bright_gloss
ㅔ,12,5280.0,0.26,1.14,0.06248446,bright_gloss
ㅔ,13,5720.0,0.235,1.14,0.04020175,bright_gloss
ㅔ,14,6160.0,0.215,1.14,0.03693122,bright_gloss
ㅔ,15,6600.0,0.198,1.14,0.03241382,bright_gloss
ㅔ,16,7040.0,0.182,1.14,0.03140694,bright_gloss
ㅔ,17,7480.0,0.166,0.92,0.02316284,controlled_air
ㅔ,18,7920.0,0.152,0.92,0.02126799,controlled_air
ㅔ,19,8360.0,0.139,0.92,0.01934887,controlled_air
ㅔ,20,8800.0,0.127,0.92,0.01824545,controlled_air
ㅔ,21,9240.0,0.116,0.92,0.01507255,controlled_air
ㅔ,22,9680.0,0.106,0.92,0.01362461,controlled_air
ㅔ,23,10120.0,0.097,0.92,0.01153751,controlled_air
ㅔ,24,10560.0,0.089,0.92,0.01097625,controlled_air
ㅔ,25,11000.0,0.081,0.68,0.00679143,anti_metallic_tail
ㅔ,26,11440.0,0.074,0.68,0.00615357,anti_metallic_tail
ㅔ,27,11880.0,0.068,0.68,0.00509659,anti_metallic_tail
ㅔ,28,12320.0,0.062,0.68,0.00454536,anti_metallic_tail
ㅔ,29,12760.0,0.057,0.68,0.00380854,anti_metallic_tail
ㅔ,30,13200.0,0.052,0.68,0.00351061,anti_metallic_tail
ㅔ,31,13640.0,0.048,0.68,0.00314703,anti_metallic_tail
ㅔ,32,14080.0,0.044,0.68,0.00288687,anti_metallic_tail
ㅔ,33,14520.0,0.04,0.68,0.00245877,anti_metallic_tail
ㅔ,34,14960.0,0.037,0.68,0.00212145,anti_metallic_tail
ㅔ,35,15400.0,0.034,0.68,0.00192088,anti_metallic_tail
ㅔ,36,15840.0,0.031,0.68,0.00177858,anti_metallic_tail
ㅗ,1,440.0,1.0,0.88,0.85043336,body
ㅗ,2,880.0,0.76,0.88,0.35428208,body
ㅗ,3,1320.0,0.64,1.22,1.03291328,forward_presence
ㅗ,4,1760.0,0.56,1.22,0.2245685,forward_presence
ㅗ,5,2200.0,0.5,1.22,0.08591814,forward_presence
ㅗ,6,2640.0,0.45,1.22,0.07740014,forward_presence
ㅗ,7,3080.0,0.41,1.26,0.09096519,consonant_and_vowel_clarity
ㅗ,8,3520.0,0.37,1.26,0.27655393,consonant_and_vowel_clarity
ㅗ,9,3960.0,0.34,1.26,0.43667183,consonant_and_vowel_clarity
ㅗ,10,4400.0,0.31,1.26,0.1655665,consonant_and_vowel_clarity
ㅗ,11,4840.0,0.285,1.14,0.04961469,bright_gloss
ㅗ,12,5280.0,0.26,1.14,0.04014653,bright_gloss
ㅗ,13,5720.0,0.235,1.14,0.03331297,bright_gloss
ㅗ,14,6160.0,0.215,1.14,0.03075083,bright_gloss
ㅗ,15,6600.0,0.198,1.14,0.02698979,bright_gloss
ㅗ,16,7040.0,0.182,1.14,0.0261514,bright_gloss
ㅗ,17,7480.0,0.166,0.92,0.01928684,controlled_air
ㅗ,18,7920.0,0.152,0.92,0.01770907,controlled_air
ㅗ,19,8360.0,0.139,0.92,0.01611109,controlled_air
ㅗ,20,8800.0,0.127,0.92,0.01519232,controlled_air
ㅗ,21,9240.0,0.116,0.92,0.01255036,controlled_air
ㅗ,22,9680.0,0.106,0.92,0.01134471,controlled_air
ㅗ,23,10120.0,0.097,0.92,0.00960686,controlled_air
ㅗ,24,10560.0,0.089,0.92,0.00913952,controlled_air
ㅗ,25,11000.0,0.081,0.68,0.00565498,anti_metallic_tail
ㅗ,26,11440.0,0.074,0.68,0.00512385,anti_metallic_tail
ㅗ,27,11880.0,0.068,0.68,0.00424374,anti_metallic_tail
ㅗ,28,12320.0,0.062,0.68,0.00378475,anti_metallic_tail
ㅗ,29,12760.0,0.057,0.68,0.00317123,anti_metallic_tail
ㅗ,30,13200.0,0.052,0.68,0.00292316,anti_metallic_tail
ㅗ,31,13640.0,0.048,0.68,0.00262041,anti_metallic_tail
ㅗ,32,14080.0,0.044,0.68,0.00240379,anti_metallic_tail
ㅗ,33,14520.0,0.04,0.68,0.00204732,anti_metallic_tail
ㅗ,34,14960.0,0.037,0.68,0.00176645,anti_metallic_tail
ㅗ,35,15400.0,0.034,0.68,0.00159945,anti_metallic_tail
ㅗ,36,15840.0,0.031,0.68,0.00148096,anti_metallic_tail
ㅜ,1,440.0,1.0,0.88,1.02787491,body
ㅜ,2,880.0,0.76,0.88,0.58678811,body
ㅜ,3,1320.0,0.64,1.22,0.75396962,forward_presence
ㅜ,4,1760.0,0.56,1.22,0.11904835,forward_presence
ㅜ,5,2200.0,0.5,1.22,0.08272837,forward_presence
ㅜ,6,2640.0,0.45,1.22,0.07666564,forward_presence
ㅜ,7,3080.0,0.41,1.26,0.12480671,consonant_and_vowel_clarity
ㅜ,8,3520.0,0.37,1.26,0.37244039,consonant_and_vowel_clarity
ㅜ,9,3960.0,0.34,1.26,0.36329214,consonant_and_vowel_clarity
ㅜ,10,4400.0,0.31,1.26,0.10224131,consonant_and_vowel_clarity
ㅜ,11,4840.0,0.285,1.14,0.04416474,bright_gloss
ㅜ,12,5280.0,0.26,1.14,0.03890654,bright_gloss
ㅜ,13,5720.0,0.235,1.14,0.0323206,bright_gloss
ㅜ,14,6160.0,0.215,1.14,0.02983485,bright_gloss
ㅜ,15,6600.0,0.198,1.14,0.02618584,bright_gloss
ㅜ,16,7040.0,0.182,1.14,0.02537242,bright_gloss
ㅜ,17,7480.0,0.166,0.92,0.01871234,controlled_air
ㅜ,18,7920.0,0.152,0.92,0.01718157,controlled_air
ㅜ,19,8360.0,0.139,0.92,0.01563119,controlled_air
ㅜ,20,8800.0,0.127,0.92,0.01473978,controlled_air
ㅜ,21,9240.0,0.116,0.92,0.01217652,controlled_air
ㅜ,22,9680.0,0.106,0.92,0.01100678,controlled_air
ㅜ,23,10120.0,0.097,0.92,0.0093207,controlled_air
ㅜ,24,10560.0,0.089,0.92,0.00886728,controlled_air
ㅜ,25,11000.0,0.081,0.68,0.00548653,anti_metallic_tail
ㅜ,26,11440.0,0.074,0.68,0.00497122,anti_metallic_tail
ㅜ,27,11880.0,0.068,0.68,0.00411733,anti_metallic_tail
ㅜ,28,12320.0,0.062,0.68,0.00367201,anti_metallic_tail
ㅜ,29,12760.0,0.057,0.68,0.00307677,anti_metallic_tail
ㅜ,30,13200.0,0.052,0.68,0.00283608,anti_metallic_tail
ㅜ,31,13640.0,0.048,0.68,0.00254236,anti_metallic_tail
ㅜ,32,14080.0,0.044,0.68,0.00233219,anti_metallic_tail
ㅜ,33,14520.0,0.04,0.68,0.00198634,anti_metallic_tail
ㅜ,34,14960.0,0.037,0.68,0.00171383,anti_metallic_tail
ㅜ,35,15400.0,0.034,0.68,0.0015518,anti_metallic_tail
ㅜ,36,15840.0,0.031,0.68,0.00143684,anti_metallic_tail
ㅡ,1,440.0,1.0,0.88,1.0016585,body
ㅡ,2,880.0,0.76,0.88,0.11477419,body
ㅡ,3,1320.0,0.64,1.22,0.10186361,forward_presence
ㅡ,4,1760.0,0.56,1.22,0.13389464,forward_presence
ㅡ,5,2200.0,0.5,1.22,0.73402502,forward_presence
ㅡ,6,2640.0,0.45,1.22,0.51488696,forward_presence
ㅡ,7,3080.0,0.41,1.26,0.08714835,consonant_and_vowel_clarity
ㅡ,8,3520.0,0.37,1.26,0.15907889,consonant_and_vowel_clarity
ㅡ,9,3960.0,0.34,1.26,0.42434559,consonant_and_vowel_clarity
ㅡ,10,4400.0,0.31,1.26,0.29160556,consonant_and_vowel_clarity
