번호,시작(프로그램 박),길이,MIDI,계이름,가사,합성 음소
1,0.0,0.25,67,솔4, 깊,ㄱ + ㅣ + ㅍ
2,0.25,0.25,67,솔4,고,ㄲ + ㅗ + 없음
3,0.5,0.25,67,솔4, 작,ㅈ + ㅏ + 없음
4,0.75,0.25,76,미5,은,ㄱ + ㅡ + ㄴ
5,1.0,0.25,72,도5, 산,ㅅ + ㅏ + ㄴ
6,1.25,0.25,67,솔4,골,ㄱ + ㅗ + ㄹ
7,1.5,0.25,64,미4,짜,ㅉ + ㅏ + 없음
8,1.75,0.25,64,미4,기,ㄱ + ㅣ + 없음
9,2.0,0.75,65,파4, 사,ㅅ + ㅏ + 없음
10,2.75,0.25,74,레5,이,ㅇ + ㅣ + 없음
11,3.0,1.0,76,미5,로,ㄹ + ㅗ + 없음
12,4.0,0.25,65,파4, 맑,ㅁ + ㅏ + ㄹ
13,4.25,0.25,65,파4,은,ㄱ + ㅡ + ㄴ
14,4.5,0.25,74,레5, 물,ㅁ + ㅜ + ㄹ
15,4.75,0.25,71,시4, 흐,ㅎ + ㅡ + 없음
16,5.0,0.5,67,솔4,르,ㄹ + ㅡ + 없음
17,5.5,0.5,65,파4,는,ㄴ + ㅡ + ㄴ
18,6.0,0.25,64,미4, 작,ㅈ + ㅏ + 없음
19,6.25,0.25,64,미4,은,ㄱ + ㅡ + ㄴ
20,6.5,0.25,64,미4, 샘,ㅅ + ㅐ + ㅁ
21,6.75,0.25,72,도5,터,ㅌ + ㅓ + 없음
22,7.0,1.0,72,도5,에,ㅇ + ㅔ + 없음
23,8.0,0.25,67,솔4, 예,ㅇ + ㅖ + 없음
24,8.25,0.25,67,솔4,쁜,ㅃ + ㅡ + ㄴ
25,8.5,0.25,67,솔4, 꽃,ㄲ + ㅗ + ㅊ
26,8.75,0.25,76,미5,들,ㄸ + ㅡ + ㄹ
27,9.0,0.25,72,도5, 사,ㅅ + ㅏ + 없음
28,9.25,0.25,67,솔4,이,ㅇ + ㅣ + 없음
29,9.5,0.5,64,미4,에,ㅇ + ㅔ + 없음
30,10.0,0.375,65,파4, 살,ㅅ + ㅏ + ㄹ
31,10.375,0.125,65,파4,짝,ㅉ + ㅏ + ㄱ
32,10.5,0.25,65,파4, 숨,ㅆ + ㅜ + ㅁ
33,10.75,0.25,74,레5,겨,ㄱ + ㅕ + 없음
34,11.0,1.0,76,미5,진,ㅈ + ㅣ + 없음
35,12.0,0.375,65,파4, 이,ㄴ + ㅣ + 없음
36,12.375,0.125,65,파4,슬,ㅅ + ㅡ + ㄹ
37,12.5,0.25,65,파4, 먹,ㅁ + ㅓ + ㄱ
38,12.75,0.25,74,레5,고,ㄲ + ㅗ + 없음
39,13.0,0.25,71,시4, 피,ㅍ + ㅣ + 없음
40,13.25,0.25,67,솔4,어,ㅇ + ㅓ + 없음
41,13.5,0.5,65,파4,난,ㄴ + ㅏ + ㄴ
42,14.0,0.25,64,미4, 네,ㄴ + ㅔ + 없음
43,14.25,0.25,64,미4,잎,ㅇ + ㅣ + ㅍ
44,14.5,0.25,64,미4,클,ㅋ + ㅡ + ㄹ
45,14.75,0.25,72,도5,로,ㄹ + ㅗ + 없음
46,15.0,0.25,72,도5,버,ㅂ + ㅓ + 없음
47,15.25,0.25,72,도5, 랄,ㄴ + ㅏ + ㄹ
48,15.5,0.25,74,레5,랄,ㄹ + ㅏ + ㄹ
49,15.75,0.25,76,미5,라,ㄹ + ㅏ + 없음
50,16.0,0.75,77,파5, 한,ㅎ + ㅏ + 없음
51,16.75,0.25,72,도5,아,ㄴ + ㅏ + 없음
52,17.0,0.25,77,파5, 잎,ㅇ + ㅣ + ㅁ
53,17.25,0.25,77,파5, 랄,ㄴ + ㅏ + ㄹ
54,17.5,0.25,76,미5,랄,ㄹ + ㅏ + ㄹ
55,17.75,0.25,72,도5,라,ㄹ + ㅏ + 없음
56,18.0,0.75,76,미5, 두,ㄷ + ㅜ + 없음
57,18.75,0.25,72,도5,우,ㅇ + ㅜ + 없음
58,19.0,0.25,76,미5, 잎,ㅇ + ㅣ + ㅁ
59,19.25,0.25,76,미5, 랄,ㄴ + ㅏ + ㄹ
60,19.5,0.25,74,레5,랄,ㄹ + ㅏ + ㄹ
61,19.75,0.25,71,시4,라,ㄹ + ㅏ + 없음
62,20.0,0.75,74,레5, 세,ㅅ + ㅔ + 없음
63,20.75,0.25,71,시4,에,ㅇ + ㅔ + 없음
64,21.0,0.25,74,레5, 잎,ㅇ + ㅣ + ㅁ
