번호,시작(박),길이(박),MIDI,계이름,가사,합성 음소
1,0.0,1.0,69,라4, 동,ㄷ + ㅗ + ㅇ
2,1.0,1.5,74,레5,해,ㅎ + ㅐ + 없음
3,2.5,0.5,73,도♯5, 물,ㅁ + ㅜ + ㄹ
4,3.0,1.0,71,시4,과,ㄱ + ㅘ + 없음
5,4.0,1.0,74,레5, 백,ㅂ + ㅐ + ㄱ
6,5.0,1.0,69,라4,두,ㄸ + ㅜ + 없음
7,6.0,1.0,66,파♯4,산,ㅅ + ㅏ + 없음
8,7.0,1.0,69,라4,이,ㄴ + ㅣ + 없음
9,8.0,1.0,74,레5, 마,ㅁ + ㅏ + 없음
10,9.0,0.5,76,미5,르,ㄹ + ㅡ + 없음
11,9.5,0.5,78,파♯5,고,ㄱ + ㅗ + 없음
12,10.0,1.5,79,솔5, 닳,ㄷ + ㅏ + ㅀ
13,11.5,0.5,78,파♯5,도,ㄷ + ㅗ + 없음
14,12.0,3.0,76,미5,록,ㄹ + ㅗ + ㄱ
15,16.0,1.5,81,라5, 하,ㅎ + ㅏ + 없음
16,17.5,0.5,79,솔5,느,ㄴ + ㅡ + 없음
17,18.0,1.0,78,파♯5,님,ㄴ + ㅣ + 없음
18,19.0,1.0,76,미5,이,ㅁ + ㅣ + 없음
19,20.0,1.0,74,레5, 보,ㅂ + ㅗ + 없음
20,21.0,0.5,73,도♯5,우,ㅇ + ㅜ + 없음
21,21.5,0.5,71,시4,우,ㅇ + ㅜ + 없음
22,22.0,1.0,69,라4,하,ㅎ + ㅏ + 없음
23,23.0,1.0,66,파♯4,사,ㅅ + ㅏ + 없음
24,24.0,1.0,69,라4, 우,ㅇ + ㅜ + 없음
25,25.0,1.0,74,레5,리,ㄹ + ㅣ + 없음
26,26.0,0.5,76,미5,나,ㄴ + ㅏ + 없음
27,26.5,0.5,76,미5,라,ㄹ + ㅏ + 없음
28,27.0,1.0,78,파♯5, 만,ㅁ + ㅏ + ㄴ
29,28.0,3.0,74,레5,세,ㅅ + ㅔ + 없음
30,32.0,1.5,73,도♯5, 무,ㅁ + ㅜ + 없음
31,33.5,0.5,74,레5,우,ㅇ + ㅜ + 없음
32,34.0,1.0,76,미5,궁,ㄱ + ㅜ + ㅇ
33,35.0,1.0,73,도♯5,화,ㅎ + ㅘ + 없음
34,36.0,1.5,78,파♯5, 삼,ㅅ + ㅏ + 없음
35,37.5,0.5,79,솔5,아,ㅁ + ㅏ + 없음
36,38.0,1.0,81,라5,천,ㅊ + ㅓ + ㄹ
37,39.0,1.0,78,파♯5,리,ㄹ + ㅣ + 없음
38,40.0,1.0,76,미5, 화,ㅎ + ㅘ + 없음
39,41.0,1.0,74,레5,려,ㄹ + ㅕ + 없음
40,42.0,1.0,73,도♯5, 강,ㄱ + ㅏ + 없음
41,43.0,1.0,74,레5,아,ㅇ + ㅏ + 없음
42,44.0,3.0,76,미5,산,ㅅ + ㅏ + ㄴ
43,48.0,1.5,81,라5, 대,ㄷ + ㅐ + 없음
44,49.5,0.5,79,솔5,한,ㅎ + ㅏ + ㄴ
45,50.0,1.0,78,파♯5, 사,ㅅ + ㅏ + 없음
46,51.0,1.0,76,미5,람,ㄹ + ㅏ + ㅁ
47,52.0,1.0,74,레5, 대,ㄷ + ㅐ + 없음
48,53.0,0.5,73,도♯5,한,ㅎ + ㅏ + 없음
49,53.5,0.5,71,시4,아,ㄴ + ㅏ + 없음
50,54.0,1.0,69,라4,으,ㅇ + ㅡ + 없음
51,55.0,1.0,66,파♯4,로,ㄹ + ㅗ + 없음
52,56.0,1.0,69,라4, 길,ㄱ + ㅣ + 없음
53,57.0,1.0,74,레5,이,ㄹ + ㅣ + 없음
54,58.0,0.5,76,미5, 보,ㅂ + ㅗ + 없음
55,58.5,0.5,76,미5,전,ㅈ + ㅓ + ㄴ
56,59.0,1.0,78,파♯5,하,ㅎ + ㅏ + 없음
57,60.0,3.0,74,레5,세,ㅅ + ㅔ + 없음
