unit,segment,start_ms,duration_ms,center_hz,width_hz,peak_level,seed
ㄱㅏ,burst,18.0,22.0,1450,900,0.0623808,13577262911487557656
ㄱㅏ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,13123542485160656990
ㄱㅐ,burst,18.0,22.0,1450,900,0.0623808,9903466099170939781
ㄱㅐ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,17228600818307346328
ㄱㅑ,burst,18.0,22.0,1450,900,0.0623808,7994253636285819088
ㄱㅑ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,4166675900933511043
ㄱㅒ,burst,18.0,22.0,1450,900,0.0623808,3630001137023186236
ㄱㅒ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,7240650497421477524
ㄱㅓ,burst,18.0,22.0,1450,900,0.0623808,9686876230093666878
ㄱㅓ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,11604539089201912463
ㄱㅔ,burst,18.0,22.0,1450,900,0.0623808,10165526739031862909
ㄱㅔ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,4279822381739966558
ㄱㅕ,burst,18.0,22.0,1450,900,0.0623808,9608200709450626866
ㄱㅕ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,3268687398117450127
ㄱㅖ,burst,18.0,22.0,1450,900,0.0623808,13921541607942039007
ㄱㅖ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,8960802828612343707
ㄱㅗ,burst,18.0,22.0,1450,900,0.0623808,2987369182452469796
ㄱㅗ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,12063932523147154406
ㄱㅘ,burst,18.0,22.0,1450,900,0.0623808,9015131028819150461
ㄱㅘ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,2300087721903660505
ㄱㅙ,burst,18.0,22.0,1450,900,0.0623808,8502398623399078343
ㄱㅙ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,2139555430323715041
ㄱㅚ,burst,18.0,22.0,1450,900,0.0623808,16646516225561025233
ㄱㅚ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,6906198937917038735
ㄱㅛ,burst,18.0,22.0,1450,900,0.0623808,4365610264536566249
ㄱㅛ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,10057402617625806369
ㄱㅜ,burst,18.0,22.0,1450,900,0.0623808,4718724197441762258
ㄱㅜ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,13173670295698189576
ㄱㅝ,burst,18.0,22.0,1450,900,0.0623808,1941087840319295902
ㄱㅝ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,13400816259963564219
ㄱㅞ,burst,18.0,22.0,1450,900,0.0623808,5818105527571689033
ㄱㅞ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,9939850763862234771
ㄱㅟ,burst,18.0,22.0,1450,900,0.0623808,10739140512483505989
ㄱㅟ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,9170111458182973687
ㄱㅠ,burst,18.0,22.0,1450,900,0.0623808,13874414288431528186
ㄱㅠ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,3955857780584184770
ㄱㅡ,burst,18.0,22.0,1450,900,0.0623808,16975868759172874022
ㄱㅡ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,11507988181563201288
ㄱㅢ,burst,18.0,22.0,1450,900,0.0623808,12256063964000756319
ㄱㅢ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,5177458451070638359
ㄱㅣ,burst,18.0,22.0,1450,900,0.0623808,2871216069323291727
ㄱㅣ,aspiration,32.0,16.56,1812.5,1215.0,0.03430944,5051738684053964916
ㄲㅏ,burst,10.0,22.0,1750,850,0.0935712,3867739088167821369
ㄲㅏ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,4401053857934022236
ㄲㅐ,burst,10.0,22.0,1750,850,0.0935712,12195946153293720981
ㄲㅐ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,16115680733456174174
ㄲㅑ,burst,10.0,22.0,1750,850,0.0935712,950749378469424217
ㄲㅑ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,16746050154314494988
ㄲㅒ,burst,10.0,22.0,1750,850,0.0935712,2306579116321132093
ㄲㅒ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,661878576264120751
ㄲㅓ,burst,10.0,22.0,1750,850,0.0935712,15787456244839629955
ㄲㅓ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,11928830449979052860
ㄲㅔ,burst,10.0,22.0,1750,850,0.0935712,16252736794811575448
ㄲㅔ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,12868682078411510865
ㄲㅕ,burst,10.0,22.0,1750,850,0.0935712,3561523333967787805
ㄲㅕ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,4653721150422018386
ㄲㅖ,burst,10.0,22.0,1750,850,0.0935712,8660700343107945439
ㄲㅖ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,12683765809633947588
ㄲㅗ,burst,10.0,22.0,1750,850,0.0935712,16480108470377219464
ㄲㅗ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,17359566970770157303
ㄲㅘ,burst,10.0,22.0,1750,850,0.0935712,13863065478541246506
ㄲㅘ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,13074240480277439787
ㄲㅙ,burst,10.0,22.0,1750,850,0.0935712,11119324564419005547
ㄲㅙ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,18226290689677841647
ㄲㅚ,burst,10.0,22.0,1750,850,0.0935712,13912973479698099221
ㄲㅚ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,9744339982303538250
ㄲㅛ,burst,10.0,22.0,1750,850,0.0935712,9373595967593297763
ㄲㅛ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,499855863900841922
ㄲㅜ,burst,10.0,22.0,1750,850,0.0935712,755911591429280422
ㄲㅜ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,10025255501978193284
ㄲㅝ,burst,10.0,22.0,1750,850,0.0935712,17960807825347864101
ㄲㅝ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,4333341251556335540
ㄲㅞ,burst,10.0,22.0,1750,850,0.0935712,11668529310523475166
ㄲㅞ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,8342723648191691895
ㄲㅟ,burst,10.0,22.0,1750,850,0.0935712,5433636576057361993
ㄲㅟ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,14001326940300636010
ㄲㅠ,burst,10.0,22.0,1750,850,0.0935712,4830287396527703299
ㄲㅠ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,11858583624325645573
ㄲㅡ,burst,10.0,22.0,1750,850,0.0935712,2549511175552948531
ㄲㅡ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,15838189317292323926
ㄲㅢ,burst,10.0,22.0,1750,850,0.0935712,4300575957913877213
ㄲㅢ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,10121063360353902323
ㄲㅣ,burst,10.0,22.0,1750,850,0.0935712,18259895730511478606
ㄲㅣ,aspiration,24.0,12.88,2187.5,1147.5,0.05146416,2671145846177727368
ㄷㅏ,burst,18.0,22.0,3200,1200,0.0701784,17797658954805176568
ㄷㅏ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,1703376029337968146
ㄷㅐ,burst,18.0,22.0,3200,1200,0.0701784,1870261770706906307
ㄷㅐ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,9983735454683192860
ㄷㅑ,burst,18.0,22.0,3200,1200,0.0701784,13769006898293613940
ㄷㅑ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,6778825617538558933
ㄷㅒ,burst,18.0,22.0,3200,1200,0.0701784,9188060778712575458
ㄷㅒ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,14399877939570741958
ㄷㅓ,burst,18.0,22.0,3200,1200,0.0701784,4961620988839915401
ㄷㅓ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,1535723699088698956
ㄷㅔ,burst,18.0,22.0,3200,1200,0.0701784,2115774279755987489
ㄷㅔ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,2540723243448777945
ㄷㅕ,burst,18.0,22.0,3200,1200,0.0701784,13992013601373458049
ㄷㅕ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,4859010210066832164
ㄷㅖ,burst,18.0,22.0,3200,1200,0.0701784,3933375789714405578
ㄷㅖ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,51035453587247357
ㄷㅗ,burst,18.0,22.0,3200,1200,0.0701784,17998383194795520561
ㄷㅗ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,10389852034715885158
ㄷㅘ,burst,18.0,22.0,3200,1200,0.0701784,6873677513662811982
ㄷㅘ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,16877191929513915405
ㄷㅙ,burst,18.0,22.0,3200,1200,0.0701784,13818175100165220022
ㄷㅙ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,10281508702843904015
ㄷㅚ,burst,18.0,22.0,3200,1200,0.0701784,1544826244417531083
ㄷㅚ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,1710657990746740944
ㄷㅛ,burst,18.0,22.0,3200,1200,0.0701784,18063872510932824052
ㄷㅛ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,17762707470812546026
ㄷㅜ,burst,18.0,22.0,3200,1200,0.0701784,252792927494217551
ㄷㅜ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,16934025122665489903
ㄷㅝ,burst,18.0,22.0,3200,1200,0.0701784,1214025231572568851
ㄷㅝ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,5353533353022509509
ㄷㅞ,burst,18.0,22.0,3200,1200,0.0701784,6817107918017952935
ㄷㅞ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,11400406896407476367
ㄷㅟ,burst,18.0,22.0,3200,1200,0.0701784,8466631702150121336
ㄷㅟ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,1194649768081051565
ㄷㅠ,burst,18.0,22.0,3200,1200,0.0701784,15225527872916093332
ㄷㅠ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,10347633907408628519
ㄷㅡ,burst,18.0,22.0,3200,1200,0.0701784,2063662417361392895
ㄷㅡ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,8417024637531792136
ㄷㅢ,burst,18.0,22.0,3200,1200,0.0701784,13959346124337265791
ㄷㅢ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,3156514629403200585
ㄷㅣ,burst,18.0,22.0,3200,1200,0.0701784,16646589532051414535
ㄷㅣ,aspiration,32.0,14.72,4000.0,1620.0,0.03859812,3220572737798410804
ㄸㅏ,burst,10.0,22.0,3600,1150,0.1013688,2516457580926252396
ㄸㅏ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,8824976908905656200
ㄸㅐ,burst,10.0,22.0,3600,1150,0.1013688,4941584420192436286
ㄸㅐ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,1879793004091941592
ㄸㅑ,burst,10.0,22.0,3600,1150,0.1013688,9235580040972602484
ㄸㅑ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,9122112993472806163
ㄸㅒ,burst,10.0,22.0,3600,1150,0.1013688,6542910646447414022
ㄸㅒ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,10212264341248297079
ㄸㅓ,burst,10.0,22.0,3600,1150,0.1013688,2319237609377824578
ㄸㅓ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,9045500641429307945
ㄸㅔ,burst,10.0,22.0,3600,1150,0.1013688,6626612022247521839
ㄸㅔ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,2590683519985135875
ㄸㅕ,burst,10.0,22.0,3600,1150,0.1013688,2612792723105243510
ㄸㅕ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,7147603208488415325
ㄸㅖ,burst,10.0,22.0,3600,1150,0.1013688,15097029093571774898
ㄸㅖ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,6346451283201379808
ㄸㅗ,burst,10.0,22.0,3600,1150,0.1013688,16680417000893995340
ㄸㅗ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,18403079503849665155
ㄸㅘ,burst,10.0,22.0,3600,1150,0.1013688,17875975231232661065
ㄸㅘ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,1788954008647958600
ㄸㅙ,burst,10.0,22.0,3600,1150,0.1013688,17736520421138246704
ㄸㅙ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,16536527384309488779
ㄸㅚ,burst,10.0,22.0,3600,1150,0.1013688,12776030151324075308
ㄸㅚ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,13531850228318975698
ㄸㅛ,burst,10.0,22.0,3600,1150,0.1013688,1724309057109745428
ㄸㅛ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,3258773047618238718
ㄸㅜ,burst,10.0,22.0,3600,1150,0.1013688,6211285133568578178
ㄸㅜ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,8246362475441030558
ㄸㅝ,burst,10.0,22.0,3600,1150,0.1013688,14534789574778225752
ㄸㅝ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,12890326370305589469
ㄸㅞ,burst,10.0,22.0,3600,1150,0.1013688,15295053990911177988
ㄸㅞ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,13394803544883882632
ㄸㅟ,burst,10.0,22.0,3600,1150,0.1013688,13172011197049785075
ㄸㅟ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,16298017597837552277
ㄸㅠ,burst,10.0,22.0,3600,1150,0.1013688,11467122980115105682
ㄸㅠ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,7045283607419107651
ㄸㅡ,burst,10.0,22.0,3600,1150,0.1013688,13094692498708510770
ㄸㅡ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,13193940664798003814
ㄸㅢ,burst,10.0,22.0,3600,1150,0.1013688,1812878696625996614
ㄸㅢ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,9007443782219452160
ㄸㅣ,burst,10.0,22.0,3600,1150,0.1013688,4263139318897844484
ㄸㅣ,aspiration,24.0,11.96,4500.0,1552.5,0.05575284,13360392114267649
ㄹㅏ,liquid_tap,18.0,10.0,1800,1000,0.032832,16203612653575415824
ㄹㅐ,liquid_tap,18.0,10.0,1800,1000,0.032832,1302339325066055149
ㄹㅑ,liquid_tap,18.0,10.0,1800,1000,0.032832,11650688008162945745
ㄹㅒ,liquid_tap,18.0,10.0,1800,1000,0.032832,3214203257501094811
ㄹㅓ,liquid_tap,18.0,10.0,1800,1000,0.032832,9041917111289876171
ㄹㅔ,liquid_tap,18.0,10.0,1800,1000,0.032832,14146877357080883718
ㄹㅕ,liquid_tap,18.0,10.0,1800,1000,0.032832,16163440842092104298
ㄹㅖ,liquid_tap,18.0,10.0,1800,1000,0.032832,9381812351516245770
ㄹㅗ,liquid_tap,18.0,10.0,1800,1000,0.032832,2523725805302745467
ㄹㅘ,liquid_tap,18.0,10.0,1800,1000,0.032832,12955311328725953568
ㄹㅙ,liquid_tap,18.0,10.0,1800,1000,0.032832,4926378457935341123
ㄹㅚ,liquid_tap,18.0,10.0,1800,1000,0.032832,7282726727684739798
ㄹㅛ,liquid_tap,18.0,10.0,1800,1000,0.032832,6490506960301772645
ㄹㅜ,liquid_tap,18.0,10.0,1800,1000,0.032832,8024239804602064611
ㄹㅝ,liquid_tap,18.0,10.0,1800,1000,0.032832,17966707395204565575
ㄹㅞ,liquid_tap,18.0,10.0,1800,1000,0.032832,4781165106682969073
ㄹㅟ,liquid_tap,18.0,10.0,1800,1000,0.032832,3075290291140104372
ㄹㅠ,liquid_tap,18.0,10.0,1800,1000,0.032832,15628056803483789009
ㄹㅡ,liquid_tap,18.0,10.0,1800,1000,0.032832,13317221200562611700
ㄹㅢ,liquid_tap,18.0,10.0,1800,1000,0.032832,11441414107451718544
ㄹㅣ,liquid_tap,18.0,10.0,1800,1000,0.032832,4920301449050004856
ㅂㅏ,burst,18.0,22.0,900,700,0.06498,5446497607071094421
ㅂㅏ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,12276222849109589182
ㅂㅐ,burst,18.0,22.0,900,700,0.06498,2050431245417640524
ㅂㅐ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,12315408313795553993
ㅂㅑ,burst,18.0,22.0,900,700,0.06498,13005628500680529867
ㅂㅑ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,1245449676015352707
ㅂㅒ,burst,18.0,22.0,900,700,0.06498,12436224176929047494
ㅂㅒ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,6975097324720533653
ㅂㅓ,burst,18.0,22.0,900,700,0.06498,3323614864908696330
ㅂㅓ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,10781930721393521236
ㅂㅔ,burst,18.0,22.0,900,700,0.06498,9384410671641589804
ㅂㅔ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,16963940290370878150
ㅂㅕ,burst,18.0,22.0,900,700,0.06498,7205717908001553212
ㅂㅕ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,13495926038862198039
ㅂㅖ,burst,18.0,22.0,900,700,0.06498,6583342027563776987
ㅂㅖ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,7184674836573443408
ㅂㅗ,burst,18.0,22.0,900,700,0.06498,11592064335962399646
ㅂㅗ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,10039932344277753998
ㅂㅘ,burst,18.0,22.0,900,700,0.06498,12119211092018001735
ㅂㅘ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,14681170129858808948
ㅂㅙ,burst,18.0,22.0,900,700,0.06498,5142551775767171450
ㅂㅙ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,10232752276461570026
ㅂㅚ,burst,18.0,22.0,900,700,0.06498,6477534929761122365
ㅂㅚ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,17859472763187318837
ㅂㅛ,burst,18.0,22.0,900,700,0.06498,9564397068165621140
ㅂㅛ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,1379728071139555294
ㅂㅜ,burst,18.0,22.0,900,700,0.06498,7581552046521276095
ㅂㅜ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,3363008526357226692
ㅂㅝ,burst,18.0,22.0,900,700,0.06498,342802924340903055
ㅂㅝ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,17187512469611643566
ㅂㅞ,burst,18.0,22.0,900,700,0.06498,13321433396696918313
ㅂㅞ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,7057596408333219244
ㅂㅟ,burst,18.0,22.0,900,700,0.06498,11947119850756287030
ㅂㅟ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,9017672883567367980
ㅂㅠ,burst,18.0,22.0,900,700,0.06498,9722836733663034797
ㅂㅠ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,13620111583000556446
ㅂㅡ,burst,18.0,22.0,900,700,0.06498,9629573683892303165
ㅂㅡ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,10495695756293919880
ㅂㅢ,burst,18.0,22.0,900,700,0.06498,4392566392811770850
ㅂㅢ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,716335486524911991
ㅂㅣ,burst,18.0,22.0,900,700,0.06498,15472371319736366367
ㅂㅣ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,1083813288747052472
ㅃㅏ,burst,10.0,22.0,1150,650,0.0987696,8509405260882681343
ㅃㅏ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,5550786359445243102
ㅃㅐ,burst,10.0,22.0,1150,650,0.0987696,16068534686098512136
ㅃㅐ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,6807712895213298341
ㅃㅑ,burst,10.0,22.0,1150,650,0.0987696,18018640992148402579
ㅃㅑ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,4737734360816952976
ㅃㅒ,burst,10.0,22.0,1150,650,0.0987696,691508766017880257
ㅃㅒ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,14855451754767198555
ㅃㅓ,burst,10.0,22.0,1150,650,0.0987696,13572036012125315375
ㅃㅓ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,11362973057629219939
ㅃㅔ,burst,10.0,22.0,1150,650,0.0987696,1298791569532503349
ㅃㅔ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,6280901439361879926
ㅃㅕ,burst,10.0,22.0,1150,650,0.0987696,7487148727739913586
ㅃㅕ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,11406247893841886306
ㅃㅖ,burst,10.0,22.0,1150,650,0.0987696,2962338871692730815
ㅃㅖ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,11322219754000811636
ㅃㅗ,burst,10.0,22.0,1150,650,0.0987696,6503526360885443570
ㅃㅗ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,16600063375543423998
ㅃㅘ,burst,10.0,22.0,1150,650,0.0987696,3309798941355791503
ㅃㅘ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,4732868372100205626
ㅃㅙ,burst,10.0,22.0,1150,650,0.0987696,3475807085291739731
ㅃㅙ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,14840480606276094331
ㅃㅚ,burst,10.0,22.0,1150,650,0.0987696,10998140969732983406
ㅃㅚ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,14146815696987286978
ㅃㅛ,burst,10.0,22.0,1150,650,0.0987696,3352921416979418634
ㅃㅛ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,9741876498811922230
ㅃㅜ,burst,10.0,22.0,1150,650,0.0987696,10108830929691645578
ㅃㅜ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,9067733694949799459
ㅃㅝ,burst,10.0,22.0,1150,650,0.0987696,9778644663630475426
ㅃㅝ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,17104870165345194459
ㅃㅞ,burst,10.0,22.0,1150,650,0.0987696,12121004210303442621
