unit,segment,start_ms,harmonic,frequency_start_hz,frequency_end_hz,amplitude_start,amplitude_end,phase_rad,role
ㄱㅏ,voicing_onset,40.0,1,440.0,440.0,0.68383716,0.11494715,3.92616329,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,2,880.0,880.0,0.22547771,0.73968242,4.20924692,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,3,1320.0,1320.0,0.10709653,0.22411483,6.01892184,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,4,1760.0,1760.0,0.15926893,0.92923115,0.09700077,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,5,2200.0,2200.0,0.82851335,0.4983345,3.49590053,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,6,2640.0,2640.0,0.49009203,0.09064003,2.69351128,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,7,3080.0,3080.0,0.14909395,0.08038134,0.38235011,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,8,3520.0,3520.0,0.41153655,0.18722076,2.85434148,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,9,3960.0,3960.0,0.41160302,0.45927504,6.19475798,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,10,4400.0,4400.0,0.11280326,0.26197296,6.03901989,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,11,4840.0,4840.0,0.04905102,0.0646416,1.41171209,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,12,5280.0,5280.0,0.04350178,0.04266141,4.04300386,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,13,5720.0,5720.0,0.036035,0.03508074,4.87160943,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,14,6160.0,6160.0,0.03349998,0.03261202,5.66158102,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,15,6600.0,6600.0,0.0293823,0.02860349,3.70913662,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,16,7040.0,7040.0,0.02873947,0.02797769,1.74685676,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,17,7480.0,7480.0,0.02092063,0.0203661,6.07895582,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,18,7920.0,7920.0,0.01924932,0.0187391,0.26279427,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,19,8360.0,8360.0,0.0177988,0.01732702,3.28330413,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,20,8800.0,8800.0,0.0163516,0.01591818,3.93958985,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,21,9240.0,9240.0,0.01372171,0.013358,4.54389304,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,22,9680.0,9680.0,0.0126144,0.01228004,1.6442324,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,23,10120.0,10120.0,0.01065368,0.01037129,5.94480443,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,24,10560.0,10560.0,0.00990945,0.00964679,2.18311825,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,25,11000.0,11000.0,0.00622988,0.00606474,5.80405228,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,26,11440.0,11440.0,0.00551787,0.00537161,3.5027546,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,27,11880.0,11880.0,0.00458838,0.00446676,1.15991083,clear_assertive_harmonic
ㄱㅏ,voicing_onset,40.0,28,12320.0,12320.0,0.00408524,0.00397695,3.07385809,clear_assertive_harmonic
